"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Bulgaria","BGR","Child employment in services (% of economically active children ages 7-14)","SL.SRV.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Child employment in services, male (% of male economically active children ages 7-14)","SL.SRV.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Child employment in services, female (% of female economically active children ages 7-14)","SL.SRV.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Children in employment, self-employed (% of children in employment, ages 7-14)","SL.SLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Children in employment, self-employed, male (% of male children in employment, ages 7-14)","SL.SLF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Children in employment, self-employed, female (% of female children in employment, ages 7-14)","SL.SLF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Child employment in manufacturing (% of economically active children ages 7-14)","SL.MNF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Child employment in manufacturing, male (% of male economically active children ages 7-14)","SL.MNF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Child employment in manufacturing, female (% of female economically active children ages 7-14)","SL.MNF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Informal employment (% of total non-agricultural employment)","SL.ISV.IFRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Informal employment, male (% of total non-agricultural employment)","SL.ISV.IFRM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Informal employment, female (% of total non-agricultural employment)","SL.ISV.IFRM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.1240005493164","40.5359992980957","39.4739990234375","38.4700012207031","37.5519981384277","36.4379997253418","35.7200012207031","34.6839981079102","33.826000213623","32.8330001831055","32.7669982910156","32.6629981994629","32.1300010681152","32.9169998168945","34.242000579834","34.4720001220703","35.5","36.4269981384277","35.2360000610352","32.9790000915527","31.4549999237061","31.32200050354","30.1870002746582","30.1149997711182","29.8950004577637","29.7900009155273","29.8990001678467","29.7870006561279","29.6849994659424",
"Bulgaria","BGR","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.443000793457","44.951000213623","44.0139999389648","43.1020011901855","42.2379989624023","41.2019996643066","40.4869995117188","39.4889984130859","38.5830001831055","37.6040000915527","36.3219985961914","36.1339988708496","35.7449989318848","36.7550010681152","38.8650016784668","40.0169982910156","41.4949989318848","43.0060005187988","42.3720016479492","40.7360000610352","38.1769981384277","36.939998626709","35.8759994506836","36.25","36.2120018005371","36.2729988098145","36.2980003356934","36.2879981994629","36.2430000305176",
"Bulgaria","BGR","Employment in industry, female (% of female employment) (modeled ILO estimate)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.5200004577637","35.8520011901855","34.6339988708496","33.4869995117188","32.4459991455078","31.1989994049072","30.4090003967285","29.2740001678467","28.3199996948242","27.261999130249","28.8419990539551","28.8059997558594","27.9829998016357","28.5259990692139","28.8390007019043","28.0179996490479","28.4850006103516","28.6299991607666","26.8199996948242","24.0709991455078","23.9069995880127","25.0879993438721","23.8339996337891","23.2129993438721","22.7409992218018","22.3689994812012","22.5400009155273","22.3540000915527","22.1630001068115",
"Bulgaria","BGR","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20830.283203125","19470.3984375","19744.58984375","20667.59765625","21691.376953125","22361.65234375","22656.17578125","23567.728515625","23190.54296875","25602.572265625","26917.95703125","28228.1953125","28762.044921875","29652.775390625","31625.02734375","32337.623046875","33219.765625","34127.35546875","34056.609375","36726.55859375","38777.8359375","39139.17578125","39505.328125","39451.1640625","40162.890625","41903.9453125","41541.96875","42994.00390625","44353.84765625",
"Bulgaria","BGR","Contributing family workers, total (% of total employment) (modeled ILO estimate)","SL.FAM.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.94500005245209","1.9210000038147","1.89199995994568","1.86500000953674","1.84099996089935","1.81500005722046","1.7940000295639","1.76999998092651","1.75100004673004","1.72699999809265","1.55299997329712","1.70299994945526","2.02600002288818","2.15199995040894","1.54499995708466","1.27900004386902","1.16499996185303","1.01199996471405","1.02300000190735","1.0440000295639","1.01999998092651","0.833999991416931","0.666000008583069","0.691999971866608","0.644999980926514","0.610000014305115","0.783999979496002","0.771000027656555","0.758000016212463",
"Bulgaria","BGR","Contributing family workers, male (% of male employment) (modeled ILO estimate)","SL.FAM.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.29100000858307","1.27100002765656","1.25","1.23099994659424","1.2150000333786","1.19700002670288","1.18299996852875","1.16700005531311","1.15900003910065","1.14199995994568","1.18400001525879","1.1710000038147","1.42900002002716","1.42700004577637","0.929000020027161","0.799000024795532","0.748000025749207","0.583000004291534","0.579999983310699","0.685000002384186","0.779999971389771","0.549000024795532","0.435000002384186","0.400000005960464","0.41499999165535","0.425000011920929","0.532999992370605","0.522000014781952","0.513000011444092",
"Bulgaria","BGR","Contributing family workers, female (% of female employment) (modeled ILO estimate)","SL.FAM.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.64199995994568","2.60999989509583","2.57699990272522","2.54800009727478","2.5239999294281","2.49499988555908","2.47399997711182","2.44899988174438","2.43600010871887","2.41000008583069","1.96000003814697","2.29399991035461","2.71000003814697","2.98300004005432","2.26500010490417","1.83800005912781","1.65400004386902","1.51999998092651","1.54499995708466","1.45700001716614","1.28900003433228","1.14999997615814","0.925000011920929","1.01999998092651","0.904999971389771","0.820999979972839","1.07200002670288","1.05499994754791","1.03999996185303",
"Bulgaria","BGR","Children in employment, unpaid family workers (% of children in employment, ages 7-14)","SL.FAM.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)","SL.FAM.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
