"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Chile","CHL","Child employment in services (% of economically active children ages 7-14)","SL.SRV.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.9","","","","","","","","","60.33","","","","","","","",
"Chile","CHL","Child employment in services, male (% of male economically active children ages 7-14)","SL.SRV.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.8","","","","","","","","","57.88","","","","","","","",
"Chile","CHL","Child employment in services, female (% of female economically active children ages 7-14)","SL.SRV.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.5","","","","","","","","","65.59","","","","","","","",
"Chile","CHL","Children in employment, self-employed (% of children in employment, ages 7-14)","SL.SLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Children in employment, self-employed, male (% of male children in employment, ages 7-14)","SL.SLF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Children in employment, self-employed, female (% of female children in employment, ages 7-14)","SL.SLF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Child employment in manufacturing (% of economically active children ages 7-14)","SL.MNF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.85","","","","","","","","","2.89","","","","","","","",
"Chile","CHL","Child employment in manufacturing, male (% of male economically active children ages 7-14)","SL.MNF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.2","","","","","","","","","2.53","","","","","","","",
"Chile","CHL","Child employment in manufacturing, female (% of female economically active children ages 7-14)","SL.MNF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.5","","","","","","","","","3.67","","","","","","","",
"Chile","CHL","Informal employment (% of total non-agricultural employment)","SL.ISV.IFRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.6800003051758","",
"Chile","CHL","Informal employment, male (% of total non-agricultural employment)","SL.ISV.IFRM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.9500007629395","",
"Chile","CHL","Informal employment, female (% of total non-agricultural employment)","SL.ISV.IFRM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.9400005340576","",
"Chile","CHL","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.30299949646","27.0990009307861","27.2250003814697","26.5909996032715","26.0580005645752","26.5930004119873","27.2929992675781","25.5270004272461","23.4220008850098","23.3899993896484","23.9220008850098","23.8600006103516","23.3980007171631","23.6000003814697","22.9500007629395","23.2880001068115","23.3819999694824","23.5380001068115","23.1700000762939","22.9570007324219","23.375","23.8299999237061","23.8780002593994","23.4869995117188","23.2840003967285","23.0109996795654","22.7409992218018","22.746000289917","22.7520008087158",
"Chile","CHL","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.6280002593994","32.8019981384277","32.5209999084473","32.1870002746582","31.6529998779297","32.1669998168945","33.6660003662109","31.3859996795654","28.8810005187988","29.0520000457764","29.4820003509521","29.8470001220703","29.4680004119873","29.7290000915527","29.2350006103516","29.9750003814697","30.5510005950928","30.7819995880127","30.7999992370605","31.0240001678467","31.8309993743896","32.4780006408691","32.8219985961914","32.2929992675781","31.57200050354","31.2800006866455","31.1340007781982","31.1959991455078","31.25",
"Chile","CHL","Employment in industry, female (% of female employment) (modeled ILO estimate)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.9820003509521","15.039999961853","16.1569995880127","14.8909997940063","14.5880002975464","14.951000213623","14.414999961853","13.8509998321533","12.6149997711182","12.3020000457764","12.9530000686646","12.0679998397827","11.8129997253418","12.2620000839233","11.5590000152588","11.3470001220703","10.9479999542236","11.423999786377","10.8009996414185","10.2309999465942","10.4460000991821","10.7360000610352","10.6070003509521","10.7080001831055","11.1809997558594","11.0930004119873","10.793999671936","10.7080001831055","10.6149997711182",
